"","score","asfeeling"
"88",94,"Strongly Favorable"
"89",50,"Unfavorable"
"90",74,"Lightly Favorable"
"91",96,"Strongly Favorable"
"92",76,"Strongly Favorable"
"93",11,"Strongly unfavorable"
"94",92,"Strongly Favorable"
"95",28,"Unfavorable"
"96",40,"Unfavorable"
"97",75,"Lightly Favorable"
"98",70,"Lightly Favorable"
"99",79,"Strongly Favorable"
"100",81,"Strongly Favorable"
"101",73,"Lightly Favorable"
"102",100,"Strongly Favorable"
"103",66,"Lightly Favorable"
"104",29,"Unfavorable"
"105",75,"Lightly Favorable"
"106",51,"Lightly Favorable"
"107",50,"Unfavorable"
"108",100,"Strongly Favorable"
"109",84,"Strongly Favorable"
"110",41,"Unfavorable"
"111",81,"Strongly Favorable"
"112",60,"Lightly Favorable"
"113",34,"Unfavorable"
"114",86,"Strongly Favorable"
"115",60,"Lightly Favorable"
"116",65,"Lightly Favorable"
"117",40,"Unfavorable"
"118",56,"Lightly Favorable"
"119",31,"Unfavorable"
"120",80,"Strongly Favorable"
"121",83,"Strongly Favorable"
"122",98,"Strongly Favorable"
"123",100,"Strongly Favorable"
"124",98,"Strongly Favorable"
"125",75,"Lightly Favorable"
"127",100,"Strongly Favorable"
"128",68,"Lightly Favorable"
"129",97,"Strongly Favorable"
"130",75,"Lightly Favorable"
"131",61,"Lightly Favorable"
"132",50,"Unfavorable"
"133",74,"Lightly Favorable"
"134",98,"Strongly Favorable"
"135",95,"Strongly Favorable"
"136",75,"Lightly Favorable"
"137",53,"Lightly Favorable"
"138",77,"Strongly Favorable"
"139",100,"Strongly Favorable"
"140",51,"Lightly Favorable"
"141",28,"Unfavorable"
"142",100,"Strongly Favorable"
"143",100,"Strongly Favorable"
"144",91,"Strongly Favorable"
"145",90,"Strongly Favorable"
"146",75,"Lightly Favorable"
"147",37,"Unfavorable"
"148",80,"Strongly Favorable"
"149",90,"Strongly Favorable"
"150",91,"Strongly Favorable"
"151",79,"Strongly Favorable"
"152",78,"Strongly Favorable"
"153",50,"Unfavorable"
"154",12,"Strongly unfavorable"
"155",31,"Unfavorable"
"156",100,"Strongly Favorable"
"157",100,"Strongly Favorable"
"158",84,"Strongly Favorable"
"159",83,"Strongly Favorable"
"160",100,"Strongly Favorable"
"161",50,"Unfavorable"
"162",90,"Strongly Favorable"
"163",50,"Unfavorable"
"164",76,"Strongly Favorable"
"165",65,"Lightly Favorable"
"166",100,"Strongly Favorable"
"167",100,"Strongly Favorable"
"168",69,"Lightly Favorable"
"169",44,"Unfavorable"
"170",66,"Lightly Favorable"
"171",50,"Unfavorable"
"172",6,"Strongly unfavorable"
"173",100,"Strongly Favorable"
"174",83,"Strongly Favorable"
"175",82,"Strongly Favorable"
"176",50,"Unfavorable"
"177",59,"Lightly Favorable"
"178",51,"Lightly Favorable"
"179",85,"Strongly Favorable"
"180",95,"Strongly Favorable"
"181",80,"Strongly Favorable"
"182",50,"Unfavorable"
"183",51,"Lightly Favorable"
"184",76,"Strongly Favorable"
"185",79,"Strongly Favorable"
"186",50,"Unfavorable"
"187",20,"Strongly unfavorable"
"188",74,"Lightly Favorable"
"189",46,"Unfavorable"
"190",37,"Unfavorable"
"191",100,"Strongly Favorable"
"192",25,"Strongly unfavorable"
"193",98,"Strongly Favorable"
"194",80,"Strongly Favorable"
"195",78,"Strongly Favorable"
"196",100,"Strongly Favorable"
"197",61,"Lightly Favorable"
"198",2,"Strongly unfavorable"
"199",81,"Strongly Favorable"
"200",51,"Lightly Favorable"
"201",91,"Strongly Favorable"
"202",28,"Unfavorable"
"203",97,"Strongly Favorable"
"204",90,"Strongly Favorable"
"205",99,"Strongly Favorable"
"206",79,"Strongly Favorable"
"207",31,"Unfavorable"
"208",50,"Unfavorable"
"209",93,"Strongly Favorable"
"210",90,"Strongly Favorable"
"211",76,"Strongly Favorable"
"212",80,"Strongly Favorable"
"213",61,"Lightly Favorable"
"214",50,"Unfavorable"
"215",76,"Strongly Favorable"
"216",70,"Lightly Favorable"
"217",82,"Strongly Favorable"
"218",61,"Lightly Favorable"
"219",70,"Lightly Favorable"
"220",81,"Strongly Favorable"
"221",50,"Unfavorable"
"222",71,"Lightly Favorable"
"223",98,"Strongly Favorable"
"224",80,"Strongly Favorable"
"225",59,"Lightly Favorable"
"226",76,"Strongly Favorable"
"227",27,"Unfavorable"
"228",31,"Unfavorable"
"229",9,"Strongly unfavorable"
"230",100,"Strongly Favorable"
"231",75,"Lightly Favorable"
"232",51,"Lightly Favorable"
"233",50,"Unfavorable"
"234",54,"Lightly Favorable"
"235",98,"Strongly Favorable"
"236",63,"Lightly Favorable"
"237",72,"Lightly Favorable"
"238",43,"Unfavorable"
"239",46,"Unfavorable"
"240",26,"Unfavorable"
"241",61,"Lightly Favorable"
"242",26,"Unfavorable"
"243",67,"Lightly Favorable"
"244",53,"Lightly Favorable"
"245",50,"Unfavorable"
"246",0,"Strongly unfavorable"
"247",90,"Strongly Favorable"
"248",51,"Lightly Favorable"
"249",63,"Lightly Favorable"
"250",19,"Strongly unfavorable"
"251",91,"Strongly Favorable"
"252",100,"Strongly Favorable"
"254",51,"Lightly Favorable"
"255",48,"Unfavorable"
"256",52,"Lightly Favorable"
"257",68,"Lightly Favorable"
"258",83,"Strongly Favorable"
"259",50,"Unfavorable"
"260",50,"Unfavorable"
"261",81,"Strongly Favorable"
"262",50,"Unfavorable"
"263",55,"Lightly Favorable"
"264",1,"Strongly unfavorable"
"265",100,"Strongly Favorable"
"266",48,"Unfavorable"
"267",60,"Lightly Favorable"
"268",90,"Strongly Favorable"
"269",60,"Lightly Favorable"
"270",50,"Unfavorable"
"271",51,"Lightly Favorable"
"272",51,"Lightly Favorable"
"273",40,"Unfavorable"
"274",50,"Unfavorable"
"275",26,"Unfavorable"
"276",100,"Strongly Favorable"
"277",99,"Strongly Favorable"
"278",94,"Strongly Favorable"
"279",76,"Strongly Favorable"
"280",91,"Strongly Favorable"
"281",37,"Unfavorable"
"282",42,"Unfavorable"
"283",46,"Unfavorable"
"284",51,"Lightly Favorable"
"285",79,"Strongly Favorable"
"286",78,"Strongly Favorable"
"287",90,"Strongly Favorable"
"288",84,"Strongly Favorable"
"289",68,"Lightly Favorable"
"290",49,"Unfavorable"
"291",23,"Strongly unfavorable"
"292",4,"Strongly unfavorable"
"293",60,"Lightly Favorable"
"294",50,"Unfavorable"
"295",25,"Strongly unfavorable"
"296",100,"Strongly Favorable"
"297",50,"Unfavorable"
"298",66,"Lightly Favorable"
"299",100,"Strongly Favorable"
"300",38,"Unfavorable"
"301",41,"Unfavorable"
"302",85,"Strongly Favorable"
"304",93,"Strongly Favorable"
"305",50,"Unfavorable"
"306",50,"Unfavorable"
"307",97,"Strongly Favorable"
"308",100,"Strongly Favorable"
"309",81,"Strongly Favorable"
"310",51,"Lightly Favorable"
"311",94,"Strongly Favorable"
"312",50,"Unfavorable"
"313",28,"Unfavorable"
"314",90,"Strongly Favorable"
"315",76,"Strongly Favorable"
"316",84,"Strongly Favorable"
"317",92,"Strongly Favorable"
"318",80,"Strongly Favorable"
"319",90,"Strongly Favorable"
"320",78,"Strongly Favorable"
"321",80,"Strongly Favorable"
"322",15,"Strongly unfavorable"
"323",50,"Unfavorable"
"324",92,"Strongly Favorable"
"325",90,"Strongly Favorable"
"326",56,"Lightly Favorable"
"327",90,"Strongly Favorable"
"328",78,"Strongly Favorable"
"329",57,"Lightly Favorable"
"330",75,"Lightly Favorable"
"331",30,"Unfavorable"
"332",50,"Unfavorable"
"333",45,"Unfavorable"
"334",77,"Strongly Favorable"
"335",75,"Lightly Favorable"
"336",50,"Unfavorable"
"337",31,"Unfavorable"
"338",74,"Lightly Favorable"
"339",30,"Unfavorable"
"340",50,"Unfavorable"
"341",91,"Strongly Favorable"
"342",50,"Unfavorable"
"343",81,"Strongly Favorable"
"344",56,"Lightly Favorable"
"345",75,"Lightly Favorable"
"346",80,"Strongly Favorable"
"347",100,"Strongly Favorable"
"348",100,"Strongly Favorable"
"349",50,"Unfavorable"
"350",82,"Strongly Favorable"
"351",80,"Strongly Favorable"
"352",80,"Strongly Favorable"
"353",62,"Lightly Favorable"
"354",17,"Strongly unfavorable"
"355",49,"Unfavorable"
"356",82,"Strongly Favorable"
"357",92,"Strongly Favorable"
"358",51,"Lightly Favorable"
"359",70,"Lightly Favorable"
"360",49,"Unfavorable"
"361",99,"Strongly Favorable"
"362",50,"Unfavorable"
"363",100,"Strongly Favorable"
"364",80,"Strongly Favorable"
"365",77,"Strongly Favorable"
"366",51,"Lightly Favorable"
"367",91,"Strongly Favorable"
"368",76,"Strongly Favorable"
"369",94,"Strongly Favorable"
"370",69,"Lightly Favorable"
"371",54,"Lightly Favorable"
"372",25,"Strongly unfavorable"
"373",43,"Unfavorable"
"374",61,"Lightly Favorable"
"375",73,"Lightly Favorable"
"376",66,"Lightly Favorable"
"377",82,"Strongly Favorable"
"378",50,"Unfavorable"
"379",50,"Unfavorable"
"380",49,"Unfavorable"
"381",26,"Unfavorable"
"382",100,"Strongly Favorable"
"383",51,"Lightly Favorable"
"384",50,"Unfavorable"
"385",50,"Unfavorable"
"386",4,"Strongly unfavorable"
"387",96,"Strongly Favorable"
"388",50,"Unfavorable"
"389",99,"Strongly Favorable"
"390",19,"Strongly unfavorable"
"391",76,"Strongly Favorable"
"392",50,"Unfavorable"
"393",77,"Strongly Favorable"
"394",52,"Lightly Favorable"
"395",51,"Lightly Favorable"
"396",100,"Strongly Favorable"
"397",50,"Unfavorable"
"398",53,"Lightly Favorable"
"399",81,"Strongly Favorable"
"400",51,"Lightly Favorable"
"401",81,"Strongly Favorable"
"402",61,"Lightly Favorable"
"403",0,"Strongly unfavorable"
"404",64,"Lightly Favorable"
"405",100,"Strongly Favorable"
"406",80,"Strongly Favorable"
"407",69,"Lightly Favorable"
"408",50,"Unfavorable"
"409",30,"Unfavorable"
"410",75,"Lightly Favorable"
"411",75,"Lightly Favorable"
"412",4,"Strongly unfavorable"
"413",70,"Lightly Favorable"
"414",55,"Lightly Favorable"
"415",3,"Strongly unfavorable"
"416",89,"Strongly Favorable"
"417",80,"Strongly Favorable"
"418",50,"Unfavorable"
"419",96,"Strongly Favorable"
"420",77,"Strongly Favorable"
"421",100,"Strongly Favorable"
"422",31,"Unfavorable"
"423",53,"Lightly Favorable"
"424",98,"Strongly Favorable"
"425",80,"Strongly Favorable"
"426",79,"Strongly Favorable"
"427",50,"Unfavorable"
"428",46,"Unfavorable"
"429",50,"Unfavorable"
"430",52,"Lightly Favorable"
"431",60,"Lightly Favorable"
"432",100,"Strongly Favorable"
"433",51,"Lightly Favorable"
"434",40,"Unfavorable"
"435",50,"Unfavorable"
"436",80,"Strongly Favorable"
"437",50,"Unfavorable"
"438",100,"Strongly Favorable"
"439",32,"Unfavorable"
"440",51,"Lightly Favorable"
"441",71,"Lightly Favorable"
"442",50,"Unfavorable"
"443",14,"Strongly unfavorable"
"444",6,"Strongly unfavorable"
"445",50,"Unfavorable"
"446",70,"Lightly Favorable"
"447",50,"Unfavorable"
"448",51,"Lightly Favorable"
"449",69,"Lightly Favorable"
"450",11,"Strongly unfavorable"
"451",70,"Lightly Favorable"
"452",60,"Lightly Favorable"
"453",51,"Lightly Favorable"
"454",74,"Lightly Favorable"
"455",78,"Strongly Favorable"
"456",36,"Unfavorable"
"457",10,"Strongly unfavorable"
"458",50,"Unfavorable"
"459",51,"Lightly Favorable"
"460",25,"Strongly unfavorable"
"462",20,"Strongly unfavorable"
"463",99,"Strongly Favorable"
"464",61,"Lightly Favorable"
"466",55,"Lightly Favorable"
"467",40,"Unfavorable"
"468",4,"Strongly unfavorable"
"469",50,"Unfavorable"
"470",43,"Unfavorable"
"471",88,"Strongly Favorable"
"472",100,"Strongly Favorable"
"473",74,"Lightly Favorable"
"474",35,"Unfavorable"
"475",50,"Unfavorable"
"476",53,"Lightly Favorable"
"477",89,"Strongly Favorable"
"478",71,"Lightly Favorable"
"479",81,"Strongly Favorable"
"480",60,"Lightly Favorable"
"482",50,"Unfavorable"
"483",77,"Strongly Favorable"
"484",52,"Lightly Favorable"
"485",64,"Lightly Favorable"
"486",4,"Strongly unfavorable"
"487",63,"Lightly Favorable"
"488",56,"Lightly Favorable"
"489",65,"Lightly Favorable"
"490",50,"Unfavorable"
"491",10,"Strongly unfavorable"
"492",25,"Strongly unfavorable"
"493",78,"Strongly Favorable"
"494",100,"Strongly Favorable"
"495",95,"Strongly Favorable"
"496",50,"Unfavorable"
"497",99,"Strongly Favorable"
"498",35,"Unfavorable"
"499",81,"Strongly Favorable"
"500",12,"Strongly unfavorable"
"501",42,"Unfavorable"
"502",66,"Lightly Favorable"
"503",57,"Lightly Favorable"
"504",69,"Lightly Favorable"
"505",90,"Strongly Favorable"
"506",74,"Lightly Favorable"
"507",50,"Unfavorable"
"508",52,"Lightly Favorable"
"509",79,"Strongly Favorable"
"510",50,"Unfavorable"
"511",66,"Lightly Favorable"
"512",46,"Unfavorable"
"513",64,"Lightly Favorable"
"514",11,"Strongly unfavorable"
"515",50,"Unfavorable"
"516",81,"Strongly Favorable"
"517",75,"Lightly Favorable"
"518",20,"Strongly unfavorable"
"519",100,"Strongly Favorable"
"520",90,"Strongly Favorable"
"521",50,"Unfavorable"
"522",28,"Unfavorable"
"523",90,"Strongly Favorable"
"524",31,"Unfavorable"
"525",74,"Lightly Favorable"
"526",20,"Strongly unfavorable"
"527",70,"Lightly Favorable"
"528",81,"Strongly Favorable"
"529",98,"Strongly Favorable"
"530",10,"Strongly unfavorable"
"531",7,"Strongly unfavorable"
"532",50,"Unfavorable"
"533",83,"Strongly Favorable"
"534",63,"Lightly Favorable"
"535",79,"Strongly Favorable"
"536",50,"Unfavorable"
"537",92,"Strongly Favorable"
"538",80,"Strongly Favorable"
"539",90,"Strongly Favorable"
"540",75,"Lightly Favorable"
"541",80,"Strongly Favorable"
"542",60,"Lightly Favorable"
"543",46,"Unfavorable"
"544",100,"Strongly Favorable"
"546",5,"Strongly unfavorable"
"547",50,"Unfavorable"
"548",37,"Unfavorable"
"549",50,"Unfavorable"
"551",100,"Strongly Favorable"
"552",66,"Lightly Favorable"
"553",63,"Lightly Favorable"
"554",68,"Lightly Favorable"
"556",100,"Strongly Favorable"
"557",50,"Unfavorable"
"558",100,"Strongly Favorable"
"559",80,"Strongly Favorable"
"560",100,"Strongly Favorable"
"561",1,"Strongly unfavorable"
"562",35,"Unfavorable"
"563",76,"Strongly Favorable"
"564",75,"Lightly Favorable"
"565",79,"Strongly Favorable"
"566",84,"Strongly Favorable"
"567",1,"Strongly unfavorable"
"568",61,"Lightly Favorable"
"569",75,"Lightly Favorable"
"570",52,"Lightly Favorable"
"571",60,"Lightly Favorable"
"572",51,"Lightly Favorable"
"573",50,"Unfavorable"
"574",70,"Lightly Favorable"
"575",31,"Unfavorable"
"576",88,"Strongly Favorable"
"577",72,"Lightly Favorable"
"578",70,"Lightly Favorable"
"579",66,"Lightly Favorable"
"580",85,"Strongly Favorable"
"581",97,"Strongly Favorable"
"582",51,"Lightly Favorable"
"583",52,"Lightly Favorable"
"584",39,"Unfavorable"
"585",91,"Strongly Favorable"
"586",50,"Unfavorable"
"587",50,"Unfavorable"
"588",74,"Lightly Favorable"
"589",50,"Unfavorable"
"590",55,"Lightly Favorable"
"591",78,"Strongly Favorable"
"592",51,"Lightly Favorable"
"593",20,"Strongly unfavorable"
"594",28,"Unfavorable"
"595",69,"Lightly Favorable"
"596",29,"Unfavorable"
"597",79,"Strongly Favorable"
"599",46,"Unfavorable"
"600",79,"Strongly Favorable"
"601",68,"Lightly Favorable"
"602",51,"Lightly Favorable"
"603",50,"Unfavorable"
"604",75,"Lightly Favorable"
"605",69,"Lightly Favorable"
"606",59,"Lightly Favorable"
"607",7,"Strongly unfavorable"
"608",89,"Strongly Favorable"
"609",80,"Strongly Favorable"
"610",60,"Lightly Favorable"
"611",81,"Strongly Favorable"
"612",64,"Lightly Favorable"
"613",68,"Lightly Favorable"
"614",72,"Lightly Favorable"
"615",50,"Unfavorable"
"616",80,"Strongly Favorable"
"617",61,"Lightly Favorable"
"618",80,"Strongly Favorable"
"619",81,"Strongly Favorable"
"620",92,"Strongly Favorable"
"621",91,"Strongly Favorable"
"622",90,"Strongly Favorable"
"623",100,"Strongly Favorable"
"624",59,"Lightly Favorable"
"625",87,"Strongly Favorable"
"626",95,"Strongly Favorable"
"627",88,"Strongly Favorable"
"628",100,"Strongly Favorable"
"629",40,"Unfavorable"
"630",48,"Unfavorable"
"631",1,"Strongly unfavorable"
"632",75,"Lightly Favorable"
"633",79,"Strongly Favorable"
"634",75,"Lightly Favorable"
"635",30,"Unfavorable"
"636",58,"Lightly Favorable"
"637",4,"Strongly unfavorable"
"638",28,"Unfavorable"
"639",75,"Lightly Favorable"
"640",100,"Strongly Favorable"
"641",20,"Strongly unfavorable"
"642",77,"Strongly Favorable"
"643",70,"Lightly Favorable"
"644",49,"Unfavorable"
"645",91,"Strongly Favorable"
"646",66,"Lightly Favorable"
"647",50,"Unfavorable"
"648",72,"Lightly Favorable"
"649",52,"Lightly Favorable"
"650",31,"Unfavorable"
"652",48,"Unfavorable"
"653",81,"Strongly Favorable"
"654",9,"Strongly unfavorable"
"655",61,"Lightly Favorable"
"657",67,"Lightly Favorable"
"658",75,"Lightly Favorable"
"659",90,"Strongly Favorable"
"660",90,"Strongly Favorable"
"661",12,"Strongly unfavorable"
"662",100,"Strongly Favorable"
"663",80,"Strongly Favorable"
"664",94,"Strongly Favorable"
"665",59,"Lightly Favorable"
"666",83,"Strongly Favorable"
"668",71,"Lightly Favorable"
"669",50,"Unfavorable"
"670",50,"Unfavorable"
"671",50,"Unfavorable"
"672",100,"Strongly Favorable"
"673",90,"Strongly Favorable"
"674",62,"Lightly Favorable"
"675",90,"Strongly Favorable"
"676",74,"Lightly Favorable"
"677",50,"Unfavorable"
"678",31,"Unfavorable"
"679",50,"Unfavorable"
"680",60,"Lightly Favorable"
"681",31,"Unfavorable"
"682",81,"Strongly Favorable"
"684",100,"Strongly Favorable"
"685",72,"Lightly Favorable"
"686",96,"Strongly Favorable"
"687",80,"Strongly Favorable"
"688",75,"Lightly Favorable"
"689",58,"Lightly Favorable"
"690",50,"Unfavorable"
"691",54,"Lightly Favorable"
"692",97,"Strongly Favorable"
"693",100,"Strongly Favorable"
"694",80,"Strongly Favorable"
"695",26,"Unfavorable"
"696",36,"Unfavorable"
"697",61,"Lightly Favorable"
"698",30,"Unfavorable"
"699",100,"Strongly Favorable"
"700",84,"Strongly Favorable"
"701",11,"Strongly unfavorable"
"702",10,"Strongly unfavorable"
"703",45,"Unfavorable"
"704",50,"Unfavorable"
"706",75,"Lightly Favorable"
"707",81,"Strongly Favorable"
"708",70,"Lightly Favorable"
"709",41,"Unfavorable"
"710",26,"Unfavorable"
"711",71,"Lightly Favorable"
"712",90,"Strongly Favorable"
"713",70,"Lightly Favorable"
"714",68,"Lightly Favorable"
"715",42,"Unfavorable"
"716",54,"Lightly Favorable"
"717",100,"Strongly Favorable"
"718",63,"Lightly Favorable"
"719",26,"Unfavorable"
"720",50,"Unfavorable"
"721",51,"Lightly Favorable"
"722",28,"Unfavorable"
"723",75,"Lightly Favorable"
"724",85,"Strongly Favorable"
"725",98,"Strongly Favorable"
"726",90,"Strongly Favorable"
"727",85,"Strongly Favorable"
"728",30,"Unfavorable"
"729",67,"Lightly Favorable"
"730",8,"Strongly unfavorable"
"731",80,"Strongly Favorable"
"732",90,"Strongly Favorable"
"733",39,"Unfavorable"
"734",51,"Lightly Favorable"
"735",40,"Unfavorable"
"736",86,"Strongly Favorable"
"737",49,"Unfavorable"
"738",79,"Strongly Favorable"
"739",80,"Strongly Favorable"
"740",100,"Strongly Favorable"
"741",22,"Strongly unfavorable"
"742",50,"Unfavorable"
"744",75,"Lightly Favorable"
"745",20,"Strongly unfavorable"
"746",50,"Unfavorable"
"747",50,"Unfavorable"
"748",83,"Strongly Favorable"
"749",100,"Strongly Favorable"
"750",50,"Unfavorable"
"751",64,"Lightly Favorable"
"752",90,"Strongly Favorable"
"753",66,"Lightly Favorable"
"754",97,"Strongly Favorable"
"755",62,"Lightly Favorable"
"756",90,"Strongly Favorable"
"758",72,"Lightly Favorable"
"759",78,"Strongly Favorable"
"760",100,"Strongly Favorable"
"761",81,"Strongly Favorable"
"762",20,"Strongly unfavorable"
"763",53,"Lightly Favorable"
"764",60,"Lightly Favorable"
"765",70,"Lightly Favorable"
"766",95,"Strongly Favorable"
"767",73,"Lightly Favorable"
"768",100,"Strongly Favorable"
"769",0,"Strongly unfavorable"
"770",50,"Unfavorable"
"771",1,"Strongly unfavorable"
"772",70,"Lightly Favorable"
"773",89,"Strongly Favorable"
"774",50,"Unfavorable"
"775",30,"Unfavorable"
"776",28,"Unfavorable"
"777",28,"Unfavorable"
"778",50,"Unfavorable"
"779",50,"Unfavorable"
"780",90,"Strongly Favorable"
"781",30,"Unfavorable"
"782",57,"Lightly Favorable"
"783",62,"Lightly Favorable"
"785",79,"Strongly Favorable"
"786",53,"Lightly Favorable"
"787",92,"Strongly Favorable"
"789",95,"Strongly Favorable"
"790",50,"Unfavorable"
"791",90,"Strongly Favorable"
"792",80,"Strongly Favorable"
"793",51,"Lightly Favorable"
"794",50,"Unfavorable"
"795",50,"Unfavorable"
"796",43,"Unfavorable"
"797",99,"Strongly Favorable"
"798",55,"Lightly Favorable"
"799",52,"Lightly Favorable"
"800",49,"Unfavorable"
"801",64,"Lightly Favorable"
"802",93,"Strongly Favorable"
"803",40,"Unfavorable"
"804",70,"Lightly Favorable"
"805",45,"Unfavorable"
"806",89,"Strongly Favorable"
"807",3,"Strongly unfavorable"
"808",56,"Lightly Favorable"
"809",79,"Strongly Favorable"
"810",90,"Strongly Favorable"
"811",50,"Unfavorable"
"812",51,"Lightly Favorable"
"813",78,"Strongly Favorable"
"814",7,"Strongly unfavorable"
"815",100,"Strongly Favorable"
"816",5,"Strongly unfavorable"
"817",80,"Strongly Favorable"
"818",100,"Strongly Favorable"
"819",59,"Lightly Favorable"
"821",98,"Strongly Favorable"
"822",37,"Unfavorable"
"823",70,"Lightly Favorable"
"824",55,"Lightly Favorable"
"825",29,"Unfavorable"
"826",76,"Strongly Favorable"
"827",44,"Unfavorable"
"828",100,"Strongly Favorable"
"829",45,"Unfavorable"
"830",78,"Strongly Favorable"
"831",100,"Strongly Favorable"
"832",91,"Strongly Favorable"
"834",61,"Lightly Favorable"
"835",80,"Strongly Favorable"
"836",88,"Strongly Favorable"
"837",50,"Unfavorable"
"838",100,"Strongly Favorable"
"839",53,"Lightly Favorable"
"840",88,"Strongly Favorable"
"841",67,"Lightly Favorable"
"842",54,"Lightly Favorable"
"843",92,"Strongly Favorable"
"844",55,"Lightly Favorable"
"845",81,"Strongly Favorable"
"846",100,"Strongly Favorable"
"847",65,"Lightly Favorable"
"848",50,"Unfavorable"
"849",85,"Strongly Favorable"
"850",75,"Lightly Favorable"
"851",32,"Unfavorable"
"852",54,"Lightly Favorable"
"853",52,"Lightly Favorable"
"854",51,"Lightly Favorable"
"855",91,"Strongly Favorable"
"856",80,"Strongly Favorable"
"857",83,"Strongly Favorable"
"858",81,"Strongly Favorable"
"859",46,"Unfavorable"
"860",86,"Strongly Favorable"
"861",79,"Strongly Favorable"
"862",99,"Strongly Favorable"
"863",76,"Strongly Favorable"
"864",70,"Lightly Favorable"
"865",100,"Strongly Favorable"
"866",59,"Lightly Favorable"
"867",53,"Lightly Favorable"
"869",50,"Unfavorable"
"870",79,"Strongly Favorable"
"871",100,"Strongly Favorable"
"872",88,"Strongly Favorable"
"873",95,"Strongly Favorable"
"874",99,"Strongly Favorable"
"875",29,"Unfavorable"
"876",11,"Strongly unfavorable"
"877",99,"Strongly Favorable"
"878",80,"Strongly Favorable"
"879",51,"Lightly Favorable"
"880",64,"Lightly Favorable"
"881",75,"Lightly Favorable"
"882",94,"Strongly Favorable"
"883",2,"Strongly unfavorable"
"884",77,"Strongly Favorable"
"885",6,"Strongly unfavorable"
"886",50,"Unfavorable"
"887",80,"Strongly Favorable"
"888",55,"Lightly Favorable"
"889",25,"Strongly unfavorable"
"890",71,"Lightly Favorable"
"891",78,"Strongly Favorable"
"892",69,"Lightly Favorable"
"893",80,"Strongly Favorable"
"894",72,"Lightly Favorable"
"895",100,"Strongly Favorable"
"896",50,"Unfavorable"
"897",83,"Strongly Favorable"
"898",72,"Lightly Favorable"
"899",46,"Unfavorable"
"900",38,"Unfavorable"
"901",82,"Strongly Favorable"
"902",77,"Strongly Favorable"
"903",97,"Strongly Favorable"
"904",8,"Strongly unfavorable"
"905",75,"Lightly Favorable"
"906",60,"Lightly Favorable"
"907",82,"Strongly Favorable"
"908",50,"Unfavorable"
"909",50,"Unfavorable"
"910",100,"Strongly Favorable"
"911",79,"Strongly Favorable"
"912",14,"Strongly unfavorable"
"913",15,"Strongly unfavorable"
"914",100,"Strongly Favorable"
"915",79,"Strongly Favorable"
"916",99,"Strongly Favorable"
"917",50,"Unfavorable"
"918",11,"Strongly unfavorable"
"919",0,"Strongly unfavorable"
"921",59,"Lightly Favorable"
